L,beta_hat,B_EA,log2_B_EA,log2_l2_EA,centered_gate_margin_bits,B_sync_over_B_EA,anchor_count,sufficient_per_anchor_budget
1,17408,35072,15.098032082960527,30.327747892279177,18.672252107720375,508.26277372262774,2,2^-130
2,33792,68096,16.05528243550119,31.28499824481984,17.715001755179713,508.1503759398496,3,2^-131
4,66560,134144,17.03342300153745,32.2631388108561,16.736861189143454,508.0916030534351,5,2^-132
8,132096,266240,18.022367813028456,33.2520836223471,15.747916377652452,508.0615384615385,9,2^-133
