L,beta_hat,B_prod,B_sync,log2_B_prod,log2_B_sync,log2_l2_prod,log2_l2_sync,base_sync_loss_bits,communication_KiB,log2_centered_gate,product_gate,sync_gate
1,17408,4563402752,17825792,32.08746284125034,24.08746284125034,47.31717865056899,39.31717865056899,201.87520009230798,82.51953125,48.99999999999955,nontrivial,nontrivial
2,33792,870813209198592,34603008,49.62935662007961,25.044394119358454,64.85907242939825,40.274109928677106,200.87520009230798,130.76171875,48.99999999999955,trivial,nontrivial
4,66560,12278152855461077555609600,68157440,83.34429590791582,26.022367813028456,98.57401171723447,41.2520836223471,199.87520009230798,227.24609375,48.99999999999955,trivial,nontrivial
8,132096,809098911734189170853842778579523365888851968,135266304,149.18115225686557,27.011227255423254,164.4108680661842,42.2409430647419,198.87520009230798,420.21484375,48.99999999999955,trivial,nontrivial
