L,ell_0,base_sync_loss_bits,integrated_fixed_total_bits,anchor_count,equal_anchor_budget_exponent,communication_KiB,integrated_4L_kfix_inverse_bits,integrated_sumcheck_inverse_bits,integrated_range_inverse_bits,integrated_extension_inverse_bits,quadratic_factor_heuristic_coefficient
1,11,201.87520009230798,200.87520009230798,2,130,82.51953125,200.87520009230798,392.81017544111637,391.7238755947222,397.9999999999964,716
2,12,200.87520009230798,199.87520009230798,3,131,130.76171875,199.87520009230798,392.79054663436744,390.7238755947222,396.9999999999964,1288
4,12,199.87520009230798,198.87520009230798,5,132,227.24609375,198.87520009230798,392.79054663436744,389.7238755947222,395.9999999999964,2428
8,13,198.87520009230798,197.87520009230798,9,133,420.21484375,197.87520009230798,392.77118130950055,388.7238755947222,394.9999999999964,4710
